AQSID,DataSource,GMTOffset,LocalTimeString,OZONE,OZONE_AQI,OZONE_AQI_LABEL,OZONE_AQI_SORT,OZONE_Measured,OZONE_Unit,SiteName,Status,ValidTime,ObjectId,MonitorType,x,y
510850003,Virginia Dept. of Environmental Quality,-5,2024-10-24 21:00:00 GMT-5,,20,20,20,1,,HANOVER,Active,1729821600000,628434943,Permanent,-8595957.495667635,4523933.641226156
180890022,Indiana Dept. of Environmental Management,-6,2024-10-24 20:00:00 GMT-6,9,18,18,18,1,PPB,Gary-IITRI,Active,1729821600000,628434948,Permanent,-9718749.81349911,5102225.47592734
000052001,Canada-Quebec1,-5,2024-10-24 21:00:00 GMT-5,17,19,19,19,1,PPB,Charette,Active,1729821600000,628434958,Permanent,-8114389.378495932,5851545.943006681
484393009,Texas Commission on Environmental Quality,-6,2024-10-24 20:00:00 GMT-6,22,29,29,29,1,PPB,Grapevine Fairway C70,Active,1729821600000,628434961,Permanent,-10805082.215108521,3893214.9279638254
300490004,Montana DEQ,-7,2024-10-24 19:00:00 GMT-7,39,38,38,38,1,PPB,Sleeping Giant,Active,1729821600000,628434962,Permanent,-12466354.071862819,5917705.916030069
80011G013,Secretaría de Medio Ambiente y Ordenamiento Territorial,-6,2024-10-24 20:00:00 GMT-6,,31,31,31,1,,Estación DIF,Active,1729821600000,628434964,Permanent,-11266072.367809633,2339270.3612505994
470370011,Davidson County PCD,-6,2024-10-24 20:00:00 GMT-6,24,23,23,23,1,PPB,EAST HEALTH CENTER,Active,1729821600000,628434974,Permanent,-9656342.437168041,4328824.455777291
400370144,Oklahoma Department of Environmental Quality,-6,2024-10-24 20:00:00 GMT-6,60,51,51,51,1,PPB,Mannford,Active,1729821600000,628434976,Permanent,-10726835.188432476,4315120.179835235
CC0091701,Alberta Environmental Monitoring and Reporting Agency (AEMERA),-7,2024-10-24 19:00:00 GMT-7,39,37,37,37,1,PPB,Steeper,Active,1729821600000,628434977,Permanent,-13034522.741619183,7007544.540610232
450790021,South Carolina DES,-5,2024-10-24 21:00:00 GMT-5,18,19,19,19,1,PPB,Congaree Bluff,Active,1729821600000,628434978,Permanent,-8992510.583762038,4003947.9530448774
000053801,Canada-Quebec1,-5,2024-10-24 21:00:00 GMT-5,26,22,22,22,1,PPB,Tingwick,Active,1729821600000,628434981,Permanent,-8009348.306983399,5765538.400835295
420050001,Pennsylvania Dept. of Environmental Protection,-5,2024-10-24 21:00:00 GMT-5,14,16,16,16,1,PPB,Kittanning,Active,1729821600000,628434984,Permanent,-8857135.284966812,4984974.713157629
840060771003,California Air Resources Board,-8,2024-10-24 18:00:00 GMT-8,,40,40,40,1,,Stockton - University Park,Active,1729821600000,628434985,Permanent,-13500985.2491682,4573999.493840964
381010003,North Dakota Department of Environmental Quality,-6,2024-10-24 20:00:00 GMT-6,28,27,27,27,1,PPB,RYDER,Active,1729821600000,628434986,Permanent,-11306896.898626722,6097021.845653139
090031003,Connecticut Dept. of Energy and Environmental Protection,-5,2024-10-24 21:00:00 GMT-5,29,26,26,26,1,PPB,East Hartford,Active,1729821600000,628434987,Permanent,-8085101.220468221,5128782.9093965255
120830003,Florida Dept. of Environmental Protection,-5,2024-10-24 21:00:00 GMT-5,,28,28,28,1,,YMCA - Marion County,Active,1729821600000,628434992,Permanent,-9139419.249720395,3397402.933182189
290470005,Missouri Department of Natural Resources,-6,2024-10-24 20:00:00 GMT-6,43,43,43,43,1,PPB,Liberty,Active,1729821600000,628434998,Permanent,-10505931.566387905,4765175.181540733
060950004,San Francisco Bay Area AQMD,-8,2024-10-24 18:00:00 GMT-8,39,34,34,34,1,PPB,Vallejo,Active,1729821600000,628435003,Permanent,-13607469.243920397,4593916.751750915
220990001,Louisiana Department of Environmental Quality,-6,2024-10-24 20:00:00 GMT-6,26,27,27,27,1,PPB,St. Martinville,Active,1729821600000,628435004,Permanent,-10226876.534784272,3504692.235648251
800090041,Red de Monitoreo de la Calidad del Aire de la Ciudad de Mexico,-6,2024-10-24 20:00:00 GMT-6,,,ND,-999,1,,Cuajimalpa,Active,1729821600000,628435005,Permanent,-11053101.483998483,2197991.6404819638
131510002,Georgia Department of Natural Resources,-5,2024-10-24 21:00:00 GMT-5,,24,24,24,1,,McDonough,Active,1729821600000,628435006,Permanent,-9368837.588296251,3953146.2859256943
060370016,South Coast AQMD,-8,2024-10-24 18:00:00 GMT-8,48,44,44,44,1,PPB,Glendora - Laurel,Active,1729821600000,628435008,Permanent,-13119091.045579925,4048140.6856152406
481410058,Texas Commission on Environmental Quality,-7,2024-10-24 19:00:00 GMT-7,25,28,28,28,1,PPB,Skyline Park C72,Active,1729821600000,628435013,Permanent,-11847238.701311022,3749389.9548290744
